documentation-url,end-date,entry-date,geography,geometry,name,organisation,reference,start-date,slug
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/clapham,,2021-04-09,conservation-area:CA01,,Clapham,local-authority-eng:LBH,CA01,1968-06-20,/conservation-area/local-authority-eng/LBH/CA01
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/lambeth,,2021-04-09,conservation-area:CA10,,Lambeth Palace,local-authority-eng:LBH,CA10,1968-01-01,/conservation-area/local-authority-eng/LBH/CA10
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/st-marks,,2021-04-09,conservation-area:CA11,,St Marks,local-authority-eng:LBH,CA11,1969-01-01,/conservation-area/local-authority-eng/LBH/CA11
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-21,,2021-04-09,conservation-area:CA12,,Streatham Park & Garrads Road,local-authority-eng:LBH,CA12,1969-01-01,/conservation-area/local-authority-eng/LBH/CA12
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-2,,2021-04-09,conservation-area:CA13,,Brixton Water Lane,local-authority-eng:LBH,CA13,1969-01-01,/conservation-area/local-authority-eng/LBH/CA13
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/gipsy,,2021-04-09,conservation-area:CA14,,Gipsy Hill,local-authority-eng:LBH,CA14,1974-01-01,/conservation-area/local-authority-eng/LBH/CA14
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-22,,2021-04-09,conservation-area:CA15,,Sunnyhill Road,local-authority-eng:LBH,CA15,1973-04-02,/conservation-area/local-authority-eng/LBH/CA15
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/hackford,,2021-04-09,conservation-area:CA16,,Hackford Road,local-authority-eng:LBH,CA16,1974-06-25,/conservation-area/local-authority-eng/LBH/CA16
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-5,,2021-04-09,conservation-area:CA17,,Clapham Park Road/Northbourne Road,local-authority-eng:LBH,CA17,1974-08-09,/conservation-area/local-authority-eng/LBH/CA17
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/trinity,,2021-04-09,conservation-area:CA18,,Trinity Gardens,local-authority-eng:LBH,CA18,1978-08-01,/conservation-area/local-authority-eng/LBH/CA18
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/park,,2021-04-09,conservation-area:CA19,,Park Hall Road,local-authority-eng:LBH,CA19,1974-01-01,/conservation-area/local-authority-eng/LBH/CA19
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/rectory,,2021-04-09,conservation-area:CA02,,Rectory Grove,local-authority-eng:LBH,CA02,1968-01-01,/conservation-area/local-authority-eng/LBH/CA02
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-7,,2021-04-09,conservation-area:CA20,,Elderwood,local-authority-eng:LBH,CA20,1976-01-01,/conservation-area/local-authority-eng/LBH/CA20
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/roupell,,2021-04-09,conservation-area:CA21,,Roupell Street,local-authority-eng:LBH,CA21,1976-11-01,/conservation-area/local-authority-eng/LBH/CA21
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-4,,2021-04-09,conservation-area:CA22,,Clapham High Street,local-authority-eng:LBH,CA22,1997-10-23,/conservation-area/local-authority-eng/LBH/CA22
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/westow,,2021-04-09,conservation-area:CA23,,Westow Hill (North Side),local-authority-eng:LBH,CA23,1998-02-16,/conservation-area/local-authority-eng/LBH/CA23
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/west,,2021-04-09,conservation-area:CA24,,West Norwood,local-authority-eng:LBH,CA24,1978-06-01,/conservation-area/local-authority-eng/LBH/CA24
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/minet,,2021-04-09,conservation-area:CA25,,Minet Estate,local-authority-eng:LBH,CA25,1980-10-20,/conservation-area/local-authority-eng/LBH/CA25
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/brixton,,2021-04-09,conservation-area:CA26,,Brixton,local-authority-eng:LBH,CA26,1980-10-20,/conservation-area/local-authority-eng/LBH/CA26
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/loughborough-park-ca27,,2021-04-09,conservation-area:CA27,,Loughborough Park,local-authority-eng:LBH,CA27,1981-03-30,/conservation-area/local-authority-eng/LBH/CA27
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-12,,2021-04-09,conservation-area:CA28,,Leigham Court Road (South),local-authority-eng:LBH,CA28,1981-02-18,/conservation-area/local-authority-eng/LBH/CA28
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/larkhall,,2021-04-09,conservation-area:CA29,,Larkhall,local-authority-eng:LBH,CA29,1981-06-08,/conservation-area/local-authority-eng/LBH/CA29
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-11,,2021-04-09,conservation-area:CA03,,Lansdowne Gardens,local-authority-eng:LBH,CA03,1968-01-01,/conservation-area/local-authority-eng/LBH/CA03
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-0,,2021-04-09,conservation-area:CA30,,Abbeville Road,local-authority-eng:LBH,CA30,2003-10-27,/conservation-area/local-authority-eng/LBH/CA30
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-13,,2021-04-09,conservation-area:CA31,,Leigham Court Estate,local-authority-eng:LBH,CA31,1981-02-18,/conservation-area/local-authority-eng/LBH/CA31
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/vauxhall,,2021-04-09,conservation-area:CA32,,Vauxhall,local-authority-eng:LBH,CA32,1981-06-08,/conservation-area/local-authority-eng/LBH/CA32
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-6,,2021-04-09,conservation-area:CA33,,Clapham Road,local-authority-eng:LBH,CA33,1981-09-01,/conservation-area/local-authority-eng/LBH/CA33
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/waterloo,,2021-04-09,conservation-area:CA34,,Waterloo,local-authority-eng:LBH,CA34,1981-10-19,/conservation-area/local-authority-eng/LBH/CA34
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/chase,,2021-04-09,conservation-area:CA35,,The Chase,local-authority-eng:LBH,CA35,1981-12-07,/conservation-area/local-authority-eng/LBH/CA35
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/la,,2021-04-09,conservation-area:CA36,,La Retraite,local-authority-eng:LBH,CA36,1982-03-29,/conservation-area/local-authority-eng/LBH/CA36
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/south-0,,2021-04-09,conservation-area:CA37,,South Lambeth Road,local-authority-eng:LBH,CA37,1982-03-29,/conservation-area/local-authority-eng/LBH/CA37
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/south,,2021-04-09,conservation-area:CA38,,South Bank,local-authority-eng:LBH,CA38,1982-07-27,/conservation-area/local-authority-eng/LBH/CA38
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/brockwell-park-ca39,,2021-04-09,conservation-area:CA39,,Brockwell Park,local-authority-eng:LBH,CA39,1983-12-10,/conservation-area/local-authority-eng/LBH/CA39
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/albert-0,,2021-04-09,conservation-area:CA04,,Albert Square,local-authority-eng:LBH,CA04,1976-09-01,/conservation-area/local-authority-eng/LBH/CA04
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/lower,,2021-04-09,conservation-area:CA40,,Lower Marsh,local-authority-eng:LBH,CA40,1984-06-04,/conservation-area/local-authority-eng/LBH/CA40
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/renfrew,,2021-04-09,conservation-area:CA41,,Renfrew Road,local-authority-eng:LBH,CA41,1985-10-28,/conservation-area/local-authority-eng/LBH/CA41
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-16,,2021-04-09,conservation-area:CA42,,Stockwell Green,local-authority-eng:LBH,CA42,1986-06-01,/conservation-area/local-authority-eng/LBH/CA42
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-18,,2021-04-09,conservation-area:CA43,,Streatham Common,local-authority-eng:LBH,CA43,1994-06-16,/conservation-area/local-authority-eng/LBH/CA43
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/telford,,2021-04-09,conservation-area:CA44,,Telford Park,local-authority-eng:LBH,CA44,1994-09-09,/conservation-area/local-authority-eng/LBH/CA44
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-10,,2021-04-09,conservation-area:CA45,,Lancaster Avenue,local-authority-eng:LBH,CA45,1994-10-17,/conservation-area/local-authority-eng/LBH/CA45
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/ferndale-road-ca46,,2021-04-09,conservation-area:CA46,,Ferndale Road (Jennings Estate),local-authority-eng:LBH,CA46,1994-09-22,/conservation-area/local-authority-eng/LBH/CA46
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-15,,2021-04-09,conservation-area:CA47,,Rosendale Road,local-authority-eng:LBH,CA47,1995-06-15,/conservation-area/local-authority-eng/LBH/CA47
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/hyde-farm-ca48,,2021-04-09,conservation-area:CA48,,Hyde Farm,local-authority-eng:LBH,CA48,1996-02-13,/conservation-area/local-authority-eng/LBH/CA48
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/rush,,2021-04-09,conservation-area:CA49,,Rush Common & Brixton Hill,local-authority-eng:LBH,CA49,1997-08-27,/conservation-area/local-authority-eng/LBH/CA49
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-17,,2021-04-09,conservation-area:CA05,,Stockwell Park,local-authority-eng:LBH,CA05,1968-01-01,/conservation-area/local-authority-eng/LBH/CA05
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-9,,2021-04-09,conservation-area:CA50,,Lambeth Walk & China Walk,local-authority-eng:LBH,CA50,1998-06-30,/conservation-area/local-authority-eng/LBH/CA50
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/mitre,,2021-04-09,conservation-area:CA51,,Mitre Road & Ufford Street,local-authority-eng:LBH,CA51,1998-06-30,/conservation-area/local-authority-eng/LBH/CA51
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/poets,,2021-04-09,conservation-area:CA52,,Poet's Corner,local-authority-eng:LBH,CA52,1998-10-12,/conservation-area/local-authority-eng/LBH/CA52
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/peabody,,2021-04-09,conservation-area:CA53,,Peabody Estate - Rosendale Road,local-authority-eng:LBH,CA53,1999-03-24,/conservation-area/local-authority-eng/LBH/CA53
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-19,,2021-04-09,conservation-area:CA54,,Streatham High Road & Streatham Hill,local-authority-eng:LBH,CA54,1999-12-07,/conservation-area/local-authority-eng/LBH/CA54
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/oaklands,,2021-04-09,conservation-area:CA55,,Oaklands Estate,local-authority-eng:LBH,CA55,1999-12-07,/conservation-area/local-authority-eng/LBH/CA55
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-23,,2021-04-09,conservation-area:CA56,,Vauxhall Gardens,local-authority-eng:LBH,CA56,2001-11-26,/conservation-area/local-authority-eng/LBH/CA56
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/albert,,2021-04-09,conservation-area:CA57,,Albert Embankment,local-authority-eng:LBH,CA57,2001-11-26,/conservation-area/local-authority-eng/LBH/CA57
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/sibella,,2021-04-09,conservation-area:CA58,,Sibella Road,local-authority-eng:LBH,CA58,2001-12-11,/conservation-area/local-authority-eng/LBH/CA58
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-24,,2021-04-09,conservation-area:CA59,,Wandsworth Road,local-authority-eng:LBH,CA59,2002-10-14,/conservation-area/local-authority-eng/LBH/CA59
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-1,,2021-04-09,conservation-area:CA06,,Brixton Road,local-authority-eng:LBH,CA06,1968-01-01,/conservation-area/local-authority-eng/LBH/CA06
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/leigham,,2021-04-09,conservation-area:CA60,,Leigham Court Road (North),local-authority-eng:LBH,CA60,2002-11-04,/conservation-area/local-authority-eng/LBH/CA60
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/herne,,2021-04-09,conservation-area:CA61,,Herne Hill,local-authority-eng:LBH,CA61,2007-12-01,/conservation-area/local-authority-eng/LBH/CA61
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-20,,2021-04-09,conservation-area:CA62,,Streatham Lodge,local-authority-eng:LBH,CA62,2009-06-08,/conservation-area/local-authority-eng/LBH/CA62
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/vassal,,2021-04-09,conservation-area:CA07,,Vassall Road,local-authority-eng:LBH,CA07,1968-01-01,/conservation-area/local-authority-eng/LBH/CA07
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-8,,2021-04-09,conservation-area:CA08,,Kennington,local-authority-eng:LBH,CA08,1968-01-01,/conservation-area/local-authority-eng/LBH/CA08
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/walcot,,2021-04-09,conservation-area:CA09,,Walcot,local-authority-eng:LBH,CA09,1968-01-01,/conservation-area/local-authority-eng/LBH/CA09
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=36,,2021-04-09,conservation-area:12,,St Saviours Dock,local-authority-eng:SWK,12,1978-04-01,/conservation-area/local-authority-eng/SWK/12
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=48,,2021-04-09,conservation-area:13,,Trinity Church Square,local-authority-eng:SWK,13,1968-09-27,/conservation-area/local-authority-eng/SWK/13
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=52,,2021-04-09,conservation-area:14,,West Square,local-authority-eng:SWK,14,1971-09-17,/conservation-area/local-authority-eng/SWK/14
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=53,,2021-04-09,conservation-area:16,,Wilson Grove,local-authority-eng:SWK,16,1977-08-19,/conservation-area/local-authority-eng/SWK/16
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=46,,2021-04-09,conservation-area:17,,Tower Bridge,local-authority-eng:SWK,17,1978-02-07,/conservation-area/local-authority-eng/SWK/17
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=47,,2021-04-09,conservation-area:18,,Trafalgar Avenue,local-authority-eng:SWK,18,1980-02-05,/conservation-area/local-authority-eng/SWK/18
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=10,,2021-04-09,conservation-area:19,,Cobourg Road,local-authority-eng:SWK,19,1980-02-05,/conservation-area/local-authority-eng/SWK/19
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=40,,2021-04-09,conservation-area:30,,The Gardens,local-authority-eng:SWK,30,1988-06-22,/conservation-area/local-authority-eng/SWK/30
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=3,,2021-04-09,conservation-area:32,,Bear Gardens,local-authority-eng:SWK,32,1999-04-22,/conservation-area/local-authority-eng/SWK/32
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=2,,2021-04-09,conservation-area:1,,Addington Square,local-authority-eng:SWK,1,1971-07-09,/conservation-area/local-authority-eng/SWK/1
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=43,,2021-04-09,conservation-area:33,,Thorburn Square,local-authority-eng:SWK,33,1991-01-30,/conservation-area/local-authority-eng/SWK/33
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=30,,2021-04-09,conservation-area:43,,Peckham Hill Street,local-authority-eng:SWK,43,2011-10-18,/conservation-area/local-authority-eng/SWK/43
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=50,,2021-04-09,conservation-area:44,,Valentine Place,local-authority-eng:SWK,44,2012-03-27,/conservation-area/local-authority-eng/SWK/44
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=22,,2021-04-09,conservation-area:45,,Larcom Street,local-authority-eng:SWK,45,2013-03-26,/conservation-area/local-authority-eng/SWK/45
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=14,,2021-04-09,conservation-area:46,,Elliot's Row,local-authority-eng:SWK,46,2013-03-26,/conservation-area/local-authority-eng/SWK/46
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=49,,2021-04-09,conservation-area:34,,Union Street,local-authority-eng:SWK,34,2000-05-11,/conservation-area/local-authority-eng/SWK/34
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=37,,2021-04-09,conservation-area:35,,Stradella Road,local-authority-eng:SWK,35,2000-09-26,/conservation-area/local-authority-eng/SWK/35
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=34,,2021-04-09,conservation-area:36,,St Georges Circus,local-authority-eng:SWK,36,2000-10-23,/conservation-area/local-authority-eng/SWK/36
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=45,,2021-04-09,conservation-area:31,,Tooley Street,local-authority-eng:SWK,31,1988-06-01,/conservation-area/local-authority-eng/SWK/31
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=31,,2021-04-09,conservation-area:37,,Pullens Estate,local-authority-eng:SWK,37,2005-04-19,/conservation-area/local-authority-eng/SWK/37
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=5,,2021-04-09,conservation-area:3,,Borough High Street,local-authority-eng:SWK,3,1968-09-29,/conservation-area/local-authority-eng/SWK/3
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=9,,2021-04-09,conservation-area:5,,Camberwell New Road,local-authority-eng:SWK,5,1968-09-27,/conservation-area/local-authority-eng/SWK/5
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=6,,2021-04-09,conservation-area:6,,Caroline Gardens,local-authority-eng:SWK,6,1968-09-27,/conservation-area/local-authority-eng/SWK/6
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=8,,2021-04-09,conservation-area:4,,Camberwell Grove,local-authority-eng:SWK,4,1970-06-24,/conservation-area/local-authority-eng/SWK/4
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=11,,2021-04-09,conservation-area:7,,Dulwich Village,local-authority-eng:SWK,7,1968-09-27,/conservation-area/local-authority-eng/SWK/7
,,2021-04-09,,,Glengall Road,local-authority-eng:SWK,,,
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=19,,2021-04-09,conservation-area:9,,Kennington Park Road,local-authority-eng:SWK,9,1968-09-27,/conservation-area/local-authority-eng/SWK/9
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=33,,2021-04-09,conservation-area:10,,Sceaux Gardens,local-authority-eng:SWK,10,1968-09-27,/conservation-area/local-authority-eng/SWK/10
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=35,,2021-04-09,conservation-area:11,,St Marys Rotherhithe,local-authority-eng:SWK,11,1970-10-09,/conservation-area/local-authority-eng/SWK/11
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=7,,2021-04-09,conservation-area:20,,Camberwell Green,local-authority-eng:SWK,20,1980-02-10,/conservation-area/local-authority-eng/SWK/20
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=24,,2021-04-09,conservation-area:21,,Liverpool Grove,local-authority-eng:SWK,21,1982-01-12,/conservation-area/local-authority-eng/SWK/21
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=39,,2021-04-09,conservation-area:22,,Sutherland Square,local-authority-eng:SWK,22,1982-01-12,/conservation-area/local-authority-eng/SWK/22
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=28,,2021-04-09,conservation-area:23,,Old Barge House Alley,local-authority-eng:SWK,23,,/conservation-area/local-authority-eng/SWK/23
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=12,,2021-04-09,conservation-area:24,,Dulwich Wood,local-authority-eng:SWK,24,1985-09-30,/conservation-area/local-authority-eng/SWK/24
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=29,,2021-04-09,conservation-area:25,,Pages Walk,local-authority-eng:SWK,25,1985-06-30,/conservation-area/local-authority-eng/SWK/25
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=18,,2021-04-09,conservation-area:26,,Honor Oak Rise,local-authority-eng:SWK,26,1985-09-29,/conservation-area/local-authority-eng/SWK/26
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=26,,2021-04-09,conservation-area:27,,Nunhead Cemetry,local-authority-eng:SWK,27,1986-09-29,/conservation-area/local-authority-eng/SWK/27
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=44,,2021-04-09,conservation-area:28,,Thrale Street,local-authority-eng:SWK,28,1988-03-23,/conservation-area/local-authority-eng/SWK/28
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=16,,2021-04-09,conservation-area:29,,Grosvenor Park,local-authority-eng:SWK,29,1988-03-23,/conservation-area/local-authority-eng/SWK/29
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=27,,2021-04-09,conservation-area:38,,Nunhead Green,local-authority-eng:SWK,38,2007-01-16,/conservation-area/local-authority-eng/SWK/38
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=38,,2021-04-09,conservation-area:39,,Sunray Estate,local-authority-eng:SWK,39,2009-01-20,/conservation-area/local-authority-eng/SWK/39
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=21,,2021-04-09,conservation-area:40,,King's Bench,local-authority-eng:SWK,40,2010-01-11,/conservation-area/local-authority-eng/SWK/40
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=13,,2021-04-09,conservation-area:41,,Edward III's Rotherhithe,local-authority-eng:SWK,41,2011-02-01,/conservation-area/local-authority-eng/SWK/41
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=4,,2021-04-09,conservation-area:2,,Bermondsey Street,local-authority-eng:SWK,2,1973-01-03,/conservation-area/local-authority-eng/SWK/2
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=23,,2021-04-09,conservation-area:47,,Liberty of the Mint,local-authority-eng:SWK,47,2015-12-01,/conservation-area/local-authority-eng/SWK/47
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=32,,2021-04-09,conservation-area:42,,Rye Lane Peckham,local-authority-eng:SWK,42,2011-10-08,/conservation-area/local-authority-eng/SWK/42
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=17,,2021-04-09,conservation-area:15,,Holly Grove,local-authority-eng:SWK,15,1971-09-06,/conservation-area/local-authority-eng/SWK/15
https://www.southwark.gov.uk/planning-and-building-control/design-and-conservation/conservation-areas?chapter=51,,2021-04-09,conservation-area:48,,Walworth Road,local-authority-eng:SWK,48,2016-03-22,/conservation-area/local-authority-eng/SWK/48
