WKT,gml_id,ogc_fid,id,name,map_ref,data_owner,shape_area,shape_len
"MULTIPOLYGON (((587600.5 185193.45,587606.47 185205.91,587615.8 185216.5,587618.1796 185268.2083,587607.85 185268.55,587579.28 185270.0,587580.55 185297.95,587579.45 185313.45,587580.2 185342.1,587581.15 185359.9,587579.26 185360.1,587580.5 185371.75,587599.0586 185374.3697,587625.0 185377.95,587702.8584 185397.4162,587774.7603 185415.9242,587799.09 185422.07,587822.68 185428.12,587823.1 185437.85,587849.8323 185443.7129,587862.7955 185445.3185,587913.3596 185449.7584,587955.4302 185453.3237,587966.4032 185454.2537,587982.6 185455.65,588004.85 185459.0,588025.75 185462.8,588036.35 185465.45,588061.0557 185472.4293,588088.9148 185479.4126,588089.26 185476.94,588093.431 185465.3807,588109.4 185390.8,588107.15 185344.71,588083.0651 185345.6935,588085.45 185342.05,588094.04 185325.0,588103.55 185306.5,588094.25 185301.65,588095.0 185296.54,588093.0 185295.5,588093.3 185291.6,588090.75 185290.5,588089.8188 185275.4715,588130.4579 185279.7767,588130.6 185276.8,588132.2624 185258.761,588132.32 185247.35,588131.4 185240.59,588142.3 185240.15,588161.35 185241.63,588174.78 185242.66,588178.2 185220.55,588180.1 185200.3,588201.4 185202.05,588201.44 185217.08,588218.9 185218.4,588224.9 185221.8,588226.8 185222.85,588331.35 185229.0,588331.6 185228.25,588334.35 185214.85,588335.65 185214.95,588342.25 185180.35,588367.6 185177.5,588420.25 185186.5,588422.05 185183.1,588432.25 185185.8,588431.95 185187.4,588436.1 185187.8,588436.8 185184.25,588453.5198 185187.2104,588455.16 185183.65,588462.2 185185.0,588462.95 185182.3,588470.1 185183.95,588470.3 185182.75,588493.45 185184.3,588509.87 185189.14,588497.25 185263.25,588546.73 185266.51,588551.6 185190.95,588557.44 185190.81,588559.2 185171.25,588553.1 185170.7,588554.55 185136.6,588565.8 185135.0,588563.7 185096.05,588562.825 185089.9536,588542.7466 185095.1349,588533.5 185086.15,588528.8213 185088.9516,588522.1 185092.75,588513.4 185095.75,588482.3413 185099.147,588471.45 185099.92,588442.01 185100.87,588350.0 185103.35,588298.9722 185104.7817,588261.5584 185105.8157,588215.4291 185107.2392,588167.1983 185107.4259,588117.0349 185105.4677,588121.3 185160.75,588103.3922 185160.6066,588102.15 185170.3,588083.16 185169.71,588068.2695 185169.5383,588055.5 185169.2,588035.8 185168.0,588019.736 185165.9895,588007.5 185164.2,587992.55 185161.8,587983.4523 185159.791,587969.8 185154.65,587964.5 185152.1,587956.9 185150.75,587946.05 185147.7,587939.4842 185145.4907,587929.3614 185143.0397,587922.0666 185142.9985,587914.7 185143.85,587904.1517 185145.543,587892.21 185146.37,587882.39 185150.03,587852.33 185157.44,587844.45 185158.03,587836.45 185158.57,587831.76 185159.71,587812.66 185157.24,587795.35 185155.2,587774.4 185160.7,587749.6906 185167.107,587736.0 185169.6,587728.55 185168.8,587723.85 185166.45,587719.75 185163.5,587715.75 185158.85,587710.7 185155.4,587703.65 185153.0,587694.3 185156.95,587691.3 185160.35,587684.8 185165.55,587677.9616 185169.4781,587670.65 185173.6,587660.2 185177.35,587652.6 185179.55,587641.4 185179.7,587631.8 185180.45,587622.5 185183.0,587620.65 185184.05,587617.4 185185.7,587611.95 185190.25,587604.25 185191.9,587600.5 185193.45)))",sos_conservation_areas,1,2,Clifftown Conservation Area,C1,"Helen Fox, Strategic Planning & Transport",186748.500133,2946.63921817
"MULTIPOLYGON (((588317.45 185808.34,588349.33 185812.56,588349.05 185815.01,588352.84 185815.45,588353.1 185815.9,588448.95 185827.4,588452.75 185800.75,588454.35 185788.5,588458.2 185762.1,588329.05 185727.1,588319.75 185772.0,588315.6645 185786.9457,588315.05 185798.05,588318.68 185798.55,588317.45 185808.34)))",sos_conservation_areas,2,14,Warrior Square Conservation Area,C5,"Helen Fox, Strategic Planning & Transport",10118.1862925,421.25760019
"MULTIPOLYGON (((587610.5921 186817.7979,587619.8 186824.1,587660.0053 186842.7542,587681.9003 186852.9703,587727.4519 186873.791,587742.92 186840.68,587841.01 186886.88,587859.67 186848.47,587881.5 186858.0,587918.51 186874.96,587953.9 186890.8,587966.9 186897.95,588019.1124 186932.4409,588024.4 186922.11,588028.42 186897.31,588021.9 186893.25,588010.7 186889.08,588014.8817 186877.1796,588003.34 186872.44,587992.04 186865.86,587967.51 186851.08,587954.08 186842.88,587941.18 186835.39,587931.22 186853.82,587930.2 186854.95,587924.4 186867.45,587920.9202 186864.3684,587893.35 186851.3,587891.05 186850.65,587884.0 186849.55,587895.9995 186826.6852,587902.7764 186813.3392,587883.52 186803.91,587879.0565 186813.0031,587881.55 186814.2,587878.65 186820.2,587875.8 186824.4,587872.05 186827.3,587865.25 186841.45,587840.4 186829.9,587841.0 186828.7,587813.6 186814.85,587830.2 186779.7,587823.57 186776.55,587824.33 186774.94,587815.74 186770.86,587804.27 186765.0,587794.19 186759.19,587784.4 186753.55,587780.8 186751.75,587772.95 186747.3,587771.25 186745.35,587765.02 186743.46,587762.5898 186727.3429,587762.1 186721.45,587763.75 186718.1,587766.0 186714.2,587756.7 186712.35,587744.6629 186706.0731,587733.7308 186699.6319,587682.1438 186666.9199,587701.4 186634.25,587695.8 186631.65,587688.35 186627.3,587682.45 186625.35,587679.18 186630.84,587665.68 186622.85,587655.6 186639.8,587652.4 186651.35,587638.0 186677.75,587634.6 186677.05,587630.54 186683.86,587629.65 186683.35,587623.65 186693.8,587623.79 186695.61,587619.45 186693.4,587618.05 186690.9,587613.5126 186688.6313,587607.0 186685.06,587589.86 186674.9,587585.02 186672.03,587577.2 186667.4,587571.7343 186664.2678,587557.8835 186689.9494,587536.8189 186677.83,587540.3193 186669.3529,587550.85 186650.43,587558.22 186636.33,587551.14 186635.02,587543.5 186633.7,587548.01 186616.3,587514.7751 186607.9676,587510.15 186607.5,587483.45 186594.9,587473.0 186590.2,587469.4 186590.4,587466.4 186591.6,587455.0 186614.3,587454.0 186619.75,587455.1 186625.35,587456.85 186628.3,587462.1353 186632.0109,587479.5026 186642.3589,587500.0 186654.03,587521.4635 186666.1798,587520.4 186675.95,587511.95 186690.2,587509.9 186693.65,587513.05 186696.6,587523.2 186702.55,587526.5 186704.5,587529.1 186706.85,587540.85 186714.0,587542.9913 186714.948,587554.75 186694.7,587562.05 186697.4,587599.547 186720.2106,587597.9 186723.2,587589.65 186737.95,587577.39 186757.5,587565.15 186751.55,587556.6 186766.15,587577.22 186778.66,587566.53 186799.25,587561.14 186809.52,587546.95 186832.85,587563.47 186841.65,587558.25 186851.91,587589.3362 186866.6903,587610.5921 186817.7979)),((587878.15 186814.85,587879.0565 186813.0031,587879.05 186813.0,587878.15 186814.85)))",sos_conservation_areas,3,10,Prittlewell Conservation Area,C4,"Helen Fox, Strategic Planning & Transport",53605.1229256,2134.74341602
"MULTIPOLYGON (((587262.8614 185375.3446,587280.6802 185370.4987,587325.2892 185368.604,587352.9309 185367.5662,587392.5118 185366.5285,587422.749 185366.2691,587424.6006 185366.1801,587421.1233 185303.9563,587474.0095 185301.021,587472.4522 185278.4502,587466.5664 185217.4357,587449.3853 185218.4721,587438.4249 185219.5084,587419.3183 185222.3214,587405.0994 185225.2824,587393.5465 185228.6875,587383.0305 185231.6485,587375.3286 185234.0173,587367.6267 185237.7186,587335.7823 185253.2638,587327.0436 185256.9651,587319.6379 185259.1858,587312.9728 185260.3702,587304.2341 185261.2585,587295.3473 185261.8507,587287.6454 185261.5546,587280.2397 185260.0741,587257.4303 185252.3755,587249.4321 185249.4145,587242.3227 185248.8223,587237.8793 185248.8223,587231.9548 185250.0067,587226.6227 185253.2638,587221.5868 185257.7053,587215.6623 185266.5883,587209.4415 185275.4713,587202.0358 185282.2816,587193.149 185288.4997,587188.1132 185291.7568,587180.3413 185305.7433,587192.1417 185330.467,587195.3861 185329.8184,587210.6993 185362.3775,587221.3407 185360.1723,587226.0126 185383.9107,587255.2116 185379.8894,587254.3032 185377.8139,587262.8614 185375.3446)))",sos_conservation_areas,4,12,Shorefield Conservation Area,C2,"Helen Fox, Strategic Planning & Transport",31350.6288083,825.686303282
"MULTIPOLYGON (((587454.609 185693.8462,587462.7725 185756.255,587494.9076 185755.246,587512.7417 185752.0507,587513.4147 185756.5914,587518.4621 185758.2731,587535.455 185763.3183,587534.1091 185771.7271,587568.5996 185781.8175,587614.3627 185795.4397,587616.7182 185787.1991,587638.422 185794.0943,587636.7396 185803.1757,587641.2822 185804.1848,587661.3036 185808.2209,587667.697 185782.9948,587668.7064 185782.9948,587677.7918 185745.9964,587682.1662 185746.6691,587686.2041 185728.1699,587685.0264 185727.6653,587686.5406 185720.7702,587688.0548 185721.2747,587691.4197 185705.8027,587687.5501 185705.13,587694.4482 185678.0539,587689.4008 185676.7085,587690.242 185670.8224,587697.9814 185640.2146,587695.2894 185639.7101,587700.6733 185617.8474,587703.3652 185602.7117,587707.4032 185590.4349,587707.9079 185584.8852,587707.5714 185577.99,587704.7112 185519.6334,587702.1875 185486.5031,587672.5761 185478.9352,587690.4103 185404.7702,587647.3391 185393.5026,587628.832 185390.1391,587616.3817 185387.9528,587599.3888 185385.262,587578.358 185382.403,587545.2134 185378.1987,587516.6114 185375.5079,587498.2725 185374.1625,587478.7559 185372.6489,587454.8649 185372.3126,587414.1492 185372.3126,587388.0709 185372.8171,587365.1894 185373.4898,587338.7747 185374.3307,587300.9192 185375.6761,587284.7675 185376.6851,587257.6798 185379.7122,587271.9807 185408.8064,587294.8623 185456.2316,587305.6301 185477.758,587321.4453 185506.1795,587326.9974 185517.9517,587336.924 185541.8325,587342.9808 185556.9682,587345.5045 185564.8724,587353.9169 185593.6302,587359.6372 185612.4658,587374.443 185609.775,587386.052 185606.5797,587390.7629 185608.766,587390.4264 185612.4658,587401.3624 185613.643,587401.5307 185610.6159,587422.3933 185609.6068,587442.9194 185612.2976,587442.0781 185626.7606,587446.116 185627.097,587453.6872 185686.7989,587454.609 185693.8462)))",sos_conservation_areas,5,9,Milton Conservation Area,C3,"Helen Fox, Strategic Planning & Transport",127642.909339,1620.169085
"MULTIPOLYGON (((589048.5493 185045.9223,589047.586 185048.0337,589044.9735 185057.2522,589043.5905 185065.5488,589041.9 185097.3526,589041.2853 185110.5658,589040.6706 185125.1618,589034.0627 185144.6743,589058.1895 185145.7497,589060.1873 185146.9789,589103.216 185149.2835,589107.8262 185148.208,589136.8706 185146.9789,589164.993 185153.7391,589175.5965 185122.2426,589180.8214 185103.4983,589181.8971 185095.9699,589144.708 185093.8189,589146.3984 185064.627,589136.1022 185064.3197,589136.4096 185052.7966,589132.4141 185042.3489,589114.7415 185050.3383,589106.6737 185025.0643,589100.9109 185014.3093,589061.4166 185031.2867,589058.1895 185033.5914,589051.5815 185039.2761,589048.8638 185045.2328,589048.5493 185045.9223)))",sos_conservation_areas,6,5,Kursaal Conservation Area,C6,"Helen Fox, Strategic Planning & Transport",13255.0480693,513.820093009
"MULTIPOLYGON (((586615.0 185293.7,586616.9697 185297.4152,586643.5131 185345.2861,586645.8352 185350.1504,586667.5081 185339.869,586680.2244 185334.8941,586681.3301 185337.4369,586686.5272 185334.7836,586691.6137 185345.1755,586697.6954 185342.5223,586698.6906 185344.8439,586738.2768 185325.7183,586745.5748 185322.2911,586756.3007 185344.1806,586807.0552 185322.6228,586819.4397 185317.2057,586813.9109 185306.1504,586830.3867 185297.7484,586837.9059 185293.4369,586844.5405 185305.8188,586867.4297 185295.2057,586880.3671 185325.0549,586884.3479 185335.2258,586887.7757 185340.4218,586891.7565 185343.7384,586894.5209 185348.4921,586906.96 185377.49,586911.19 185375.34,586919.25 185392.65,586929.2 185405.45,586929.03 185405.6,586930.5 185407.95,586931.55 185408.1,586937.37 185403.44,586957.2 185386.7,586967.05 185377.95,586979.04 185367.0,586984.66 185362.32,586986.85 185360.5,586991.05 185358.4,586984.94 185351.95,586973.9 185340.39,586970.5 185336.6,586969.4915 185337.1052,586966.8376 185333.6781,586952.2416 185303.0549,586955.8906 185301.2861,586952.6839 185293.3263,586953.5685 185292.7735,586938.6407 185262.3715,586934.9917 185252.7534,586944.1695 185250.3213,586943.7272 185243.6881,586932.8908 185244.7936,586898.6122 185249.4369,586878.5979 185249.5474,586860.2423 185252.4218,586847.4154 185254.3012,586834.5886 185255.8489,586829.1704 185255.2962,586826.0742 185253.4168,586824.7473 185250.1002,586789.4736 185255.4067,586788.2572 185251.9796,586704.2194 185263.3665,586642.6285 185270.4419,586592.5375 185276.3012,586519.3361 185284.1504,586463.274 185289.7886,586402.1254 185294.6529,586397.1495 185303.7183,586364.1978 185305.3766,586357.2315 185297.3062,586331.799 185299.075,586259.7034 185303.7183,586244.7756 185304.8238,586247.7612 185318.3112,586255.9438 185347.3866,586264.0159 185372.5926,586287.9003 185362.864,586303.1598 185356.5625,586305.5925 185364.1906,586304.0444 185364.6328,586307.804 185372.5926,586317.05 185392.8,586348.86 185377.7,586353.901 185375.0145,586361.24 185380.5169,586363.49 185379.48,586393.21 185364.5,586396.49 185371.08,586399.03 185369.71,586402.55 185376.15,586435.81 185360.2,586441.8272 185357.3409,586461.2681 185398.8739,586455.81 185401.57,586422.42 185417.34,586453.1 185479.45,586453.54 185479.23,586460.34 185492.74,586459.7 185493.05,586466.53 185506.86,586477.04 185501.73,586479.5 185508.45,586484.1 185506.3,586495.65 185500.6,586497.3 185500.0,586500.0 185498.8,586502.35 185497.65,586499.1 185490.95,586504.5684 185487.9047,586471.6514 185419.6404,586477.22 185417.03,586511.78 185400.18,586547.62 185473.74,586550.13 185483.68,586586.05 185464.85,586591.1691 185462.4989,586598.6804 185476.1959,586604.31 185473.67,586629.3 185461.4,586639.61 185456.85,586590.32 185353.14,586554.03 185370.85,586548.3106 185373.2472,586541.6725 185359.2157,586535.2948 185346.0097,586540.6 185343.3,586557.55 185334.75,586563.9 185331.8,586563.3 185330.3,586576.3934 185323.9494,586562.8 185297.25,586615.0 185293.7)))",sos_conservation_areas,7,13,The Leas Conservation Area,C8,"Helen Fox, Strategic Planning & Transport",69127.7618282,2619.03334328
